typical month	name	caller1	caller2	caller3	caller4	caller5	caller6	band1	band2	band3	band4	band5	band6	roles	date	location	url
12	Catalina Dance Weekend	George Marshall	Emily Rush					Buddy System	Mean Lids						12/7/2018	Los Angeles CA	https://www.facebook.com/events/1860064614297988/
12	Contradancers Delight Holiday (Winter)	Beth Molaro	Bob Isaacs	Will Mentor				Buddy System	Mean Lids	Toss the Possum	In-tent-city	Eddy Sisters			12/26/2018	Morgantown WV	http://www.contradancersdelight.com/
	end of active list																
	checked with emily rush to get full gig list																
																	
																	
	Northfield Winter Stomp																cancelled for 2017
7	Chattaboogie															Chattanooga TN	not in 2016 or 2017
																	
3	Tropical Dance Vacation: Hawaii															Big Island, Hawaii	not in 2018
5	Catapult!															Atlanta GA	not in 2018, butterfly whirl instead
3	Spring Fever Dance Weekend															Aptos CA	indefinite hiatus
2	Midwinter Meltdown Dance Weekend															Lawrence KS	taking 2018 off
1	A New Year's Affair															Jonesborough TN	can't find 2018 data; not sure if it happened
1	Shenandoah Shindig															Dayton VA	can't find anything about 2018
3	Memfest Dance Weekend															Memphis TN	can't find anything about 2018
3	Contra Holiday in Medieval England															Ely, England	next happening in 2019
3	Phoenix Spring Frolic															Mesa AZ	looks like they only did a winter one this year
5	Wheatland Traditional Arts Weekend														5/25/2018	Remus, M	no contra
8	Fly the Coop Contra Weekend															Gainesville GA	doesn't seem to be in 2018?
9	Oldtone Roots Festival															Hillsdale NY	very little contra in 2018
10	Solefest Dance Weekend															Springfield MO	cancelled for 2018
																	
9	Northwest Passage Dance Camp														8/31/2018	Rhododendron OR	ecd every other year
																	
10	Fine Time at Our House															Fayetteville AR	very little contra
5	Blue Moon Dance Weekend															Huntsville AL	doesn't look like it happened in 2018
